template_hex,template_dec,template_class,slot0,slot1,slot2,defined
0x00,0,MII,M,I,I,True
0x01,1,MII,M,I,I,True
0x02,2,MII,M,I,I,True
0x03,3,MII,M,I,I,True
0x04,4,MLX,M,L,X,True
0x05,5,MLX,M,L,X,True
0x06,6,reserved,reserved,reserved,reserved,False
0x07,7,reserved,reserved,reserved,reserved,False
0x08,8,MMI,M,M,I,True
0x09,9,MMI,M,M,I,True
0x0a,10,MMI,M,M,I,True
0x0b,11,MMI,M,M,I,True
0x0c,12,MFI,M,F,I,True
0x0d,13,MFI,M,F,I,True
0x0e,14,MMF,M,M,F,True
0x0f,15,MMF,M,M,F,True
0x10,16,MIB,M,I,B,True
0x11,17,MIB,M,I,B,True
0x12,18,MBB,M,B,B,True
0x13,19,MBB,M,B,B,True
0x14,20,reserved,reserved,reserved,reserved,False
0x15,21,reserved,reserved,reserved,reserved,False
0x16,22,BBB,B,B,B,True
0x17,23,BBB,B,B,B,True
0x18,24,MMB,M,M,B,True
0x19,25,MMB,M,M,B,True
0x1a,26,reserved,reserved,reserved,reserved,False
0x1b,27,reserved,reserved,reserved,reserved,False
0x1c,28,MFB,M,F,B,True
0x1d,29,MFB,M,F,B,True
0x1e,30,reserved,reserved,reserved,reserved,False
0x1f,31,reserved,reserved,reserved,reserved,False
